Salario,Sexo,Años,educación
2.950000047683716,M,1,12
3.0,F,0,10
4.690000057220459,M,7,10
3.7300000190734863,F,2,9
4.0,M,12,10
4.0,F,0,12
2.900000095367432,F,1,12
3.049999952316284,F,0,12
5.050000190734863,F,0,10
13.949999809265137,M,16,16
18.15999984741211,M,28,16
6.25,M,4,16
5.25,M,0,12
4.789999961853027,F,3,12
3.3499999046325684,F,0,7
3.0,M,0,8
8.430000305175781,M,6,16
5.699999809265137,M,0,16
11.979999542236328,M,10,18
3.5,F,1,13
4.239999771118164,M,5,10
7.0,F,3,16
6.0,F,3,14
12.220000267028809,M,2,16
4.5,M,0,12
3.0,F,20,9
2.900000095367432,M,2,11
15.0,M,31,11
4.0,M,2,12
5.25,M,11,11
4.0,M,3,12
3.299999952316284,F,9,12
5.050000190734863,F,0,12
3.5799999237060547,M,0,12
5.0,M,5,14
4.570000171661377,M,0,14
12.5,M,2,18
3.450000047683716,F,5,12
4.630000114440918,F,1,12
10.0,M,2,12
2.9200000762939453,F,0,11
4.510000228881836,M,2,12
6.5,M,0,17
7.5,M,0,16
3.539999961853028,F,7,13
4.199999809265137,F,3,13
3.509999990463257,F,2,12
4.5,M,0,14
3.3499999046325684,F,4,14
2.9100000858306885,M,2,11
5.25,M,7,10
4.050000190734863,M,25,8
3.75,F,0,14
3.400000095367432,F,15,12
3.0,F,1,10
6.289999961853027,M,3,17
2.539999961853028,F,0,9
4.5,F,0,12
3.130000114440918,F,5,12
6.360000133514404,M,1,14
4.679999828338623,M,0,16
6.800000190734863,M,10,12
8.529999732971191,M,6,10
4.170000076293945,F,10,0
3.75,F,4,14
11.100000381469728,F,4,15
3.259999990463257,F,5,16
9.130000114440918,M,12,12
4.5,M,10,11
3.0,F,1,11
8.75,M,4,12
4.139999866485596,F,0,13
2.869999885559082,F,8,12
3.3499999046325684,F,0,13
6.079999923706055,M,10,16
3.0,M,0,15
4.199999809265137,F,0,16
5.599999904632568,F,15,15
10.0,M,24,12
12.5,M,5,18
3.759999990463257,M,0,6
3.0999999046325684,F,0,6
4.289999961853027,F,25,12
10.920000076293944,M,5,12
7.5,F,2,16
4.050000190734863,F,4,9
4.650000095367432,M,2,12
5.0,M,5,11
2.900000095367432,F,0,10
8.0,F,3,12
8.430000305175781,M,3,8
2.9200000762939453,F,0,9
6.25,F,0,17
6.25,F,2,16
5.110000133514404,M,0,11
4.0,F,0,10
4.440000057220459,M,11,8
6.880000114440918,M,21,13
5.429999828338623,M,3,14
3.0,F,0,13
2.900000095367432,F,0,11
6.25,M,21,7
4.340000152587891,F,2,16
3.25,F,2,12
7.260000228881836,M,2,13
6.349999904632568,F,1,14
5.630000114440918,M,2,16
8.75,M,3,14
3.200000047683716,M,0,11
3.0,F,1,8
3.0,F,3,14
12.5,M,18,17
2.880000114440918,F,0,10
3.3499999046325684,M,1,12
6.5,M,2,12
10.380000114440918,M,2,18
4.5,M,0,14
10.0,M,8,18
3.809999942779541,F,1,12
8.800000190734863,M,1,16
9.420000076293944,F,0,14
6.329999923706055,M,8,12
4.0,M,18,9
2.900000095367432,F,0,12
20.0,M,4,12
11.25,M,25,17
3.5,F,0,12
6.0,F,4,15
14.380000114440918,M,9,17
6.360000133514404,M,0,16
3.549999952316284,F,0,12
3.0,M,0,15
4.5,M,10,16
6.630000114440918,F,0,12
9.300000190734863,M,2,15
3.0,F,0,12
3.25,F,2,12
1.5,F,1,12
5.900000095367432,F,7,12
8.0,M,4,16
2.900000095367432,F,0,11
3.289999961853028,M,13,14
6.5,M,33,14
4.0,F,0,13
6.0,M,0,14
4.079999923706055,F,17,12
3.75,F,2,12
3.049999952316284,F,24,8
3.5,F,20,12
2.9200000762939453,M,30,3
4.5,M,9,11
3.3499999046325684,F,1,15
5.949999809265137,M,9,11
8.0,M,6,12
3.0,M,0,4
5.0,M,9,9
5.5,M,4,12
2.650000095367432,F,10,12
3.0,F,0,11
4.5,F,14,12
17.5,M,22,16
8.180000305175781,M,5,13
9.09000015258789,M,12,15
11.81999969482422,M,13,16
3.25,F,0,12
4.5,M,0,12
4.5,M,0,12
3.7100000381469727,M,7,9
6.5,M,11,10
2.900000095367432,F,1,12
5.599999904632568,M,8,11
2.2300000190734863,M,3,8
5.0,F,0,6
8.329999923706055,M,2,16
2.900000095367432,F,1,12
6.25,M,6,12
4.550000190734863,M,2,16
3.2799999713897705,F,2,12
2.299999952316284,F,0,10
3.299999952316284,F,0,13
3.150000095367432,F,0,13
12.5,M,30,14
5.150000095367432,F,21,16
3.130000114440918,M,1,10
7.25,M,5,12
2.900000095367432,F,2,12
1.75,M,1,11
2.890000104904175,F,0,0
2.900000095367432,F,0,5
17.709999084472656,M,3,16
6.25,M,3,16
2.5999999046325684,M,0,9
6.630000114440918,F,3,15
3.5,F,3,12
6.5,M,14,12
3.0,F,1,12
4.380000114440918,M,0,13
10.0,M,0,12
4.949999809265137,M,17,7
9.0,F,0,17
1.4299999475479126,F,0,12
3.0799999237060547,M,1,12
9.329999923706056,M,11,14
7.5,M,5,12
4.75,M,1,13
5.650000095367432,M,0,12
15.0,F,2,16
2.2699999809265137,F,0,10
4.670000076293945,M,18,15
11.5600004196167,M,1,16
3.5,F,4,14
